# t (s)	mx ()	my ()	mz ()	E_total (J)
2.86e-07	0.6378187	-0.48063084	0	-5.827926e-20
2.87e-07	0.64618593	-0.4781524	0	-5.6489334e-20
2.8800000000000004e-07	0.6545084	-0.47552827	0	-5.470894e-20
2.89e-07	0.6627841	-0.47275934	0	-5.293861e-20
2.9000000000000003e-07	0.67100996	-0.46984634	0	-5.1178896e-20
2.91e-07	0.67918396	-0.46679023	0	-4.9430317e-20
2.92e-07	0.6873033	-0.46359193	0	-4.7693415e-20
2.9300000000000004e-07	0.6953656	-0.46025246	0	-4.596872e-20
2.94e-07	0.70336837	-0.4567727	0	-4.4256757e-20
2.9500000000000003e-07	0.71130913	-0.4531539	0	-4.255805e-20
2.96e-07	0.71918565	-0.449397	0	-4.0873104e-20
2.97e-07	0.7269952	-0.44550326	0	-3.9202448e-20
2.98e-07	0.7347358	-0.4414738	0	-3.7546578e-20
2.99e-07	0.74240476	-0.43730986	0	-3.5906007e-20
3.0000000000000004e-07	0.75	-0.4330127	0	-3.4281227e-20
3.01e-07	0.75751907	-0.42858368	0	-3.267275e-20
3.0200000000000003e-07	0.76495963	-0.42402405	0	-3.1081037e-20
3.03e-07	0.7723195	-0.41933528	0	-2.95066e-20
3.04e-07	0.7795965	-0.4145188	0	-2.794991e-20
3.0500000000000004e-07	0.78678817	-0.40957603	0	-2.6411434e-20
3.06e-07	0.7938927	-0.4045085	0	-2.4891642e-20
3.0700000000000004e-07	0.8009076	-0.39931777	0	-2.3391004e-20
3.08e-07	0.8078308	-0.39400536	0	-2.1909976e-20
3.0900000000000003e-07	0.8146602	-0.388573	0	-2.0449008e-20
3.1e-07	0.8213938	-0.38302222	0	-1.9008544e-20
3.11e-07	0.82802945	-0.37735477	0	-1.7589025e-20
3.1200000000000004e-07	0.8345653	-0.3715724	0	-1.6190871e-20
3.13e-07	0.8409991	-0.36567685	0	-1.481453e-20
3.1400000000000003e-07	0.8473291	-0.35966986	0	-1.3460404e-20
3.15e-07	0.8535535	-0.35355338	0	-1.2128912e-20
3.16e-07	0.8596699	-0.34732923	0	-1.082046e-20
3.1700000000000005e-07	0.8656769	-0.34099922	0	-9.535442e-21
3.18e-07	0.8715723	-0.3345653	0	-8.274248e-21
3.1900000000000004e-07	0.87735474	-0.32802948	0	-7.037272e-21
3.2e-07	0.8830221	-0.32139382	0	-5.824888e-21
3.2100000000000003e-07	0.888573	-0.3146602	0	-4.63746e-21
3.22e-07	0.8940054	-0.30783072	0	-3.475352e-21
3.23e-07	0.8993178	-0.30090752	0	-2.33892e-21
3.2400000000000004e-07	0.9045084	-0.29389262	0	-1.228506e-21
3.25e-07	0.9095761	-0.28678823	0	-1.4445e-22
3.2600000000000003e-07	0.91451883	-0.27959648	0	9.12912e-22
3.27e-07	0.9193352	-0.27231953	0	1.943267e-21
