# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.99067706	5.2386895e-08	-6.508657e-38	-0.074	0	0
0	-0.9905999	5.4606062e-08	-6.456309e-38	-0.07300001	0	0
0	-0.9905219	5.6126737e-08	-6.3916154e-38	-0.072	0	0
0	-0.99044335	6.6480425e-08	-6.5405286e-38	-0.071	0	0
0	-0.9903641	6.935443e-08	-6.389747e-38	-0.07	0	0
0	-0.9902841	7.299968e-08	-6.683911e-38	-0.069	0	0
0	-0.9902034	8.127245e-08	-6.8037295e-38	-0.06800001	0	0
0	-0.99012184	9.051291e-08	-6.9119064e-38	-0.067	0	0
0	-0.9900397	9.8916644e-08	-6.928913e-38	-0.06599999	0	0
0	-0.9899567	1.08469976e-07	-7.145442e-38	-0.065	0	0
0	-0.98987293	1.204462e-07	-7.180551e-38	-0.064	0	0
0	-0.9897885	1.329172e-07	-7.1439664e-38	-0.063	0	0
0	-0.98970324	1.5061232e-07	-7.236697e-38	-0.062000003	0	0
0	-0.98961717	1.6681588e-07	-7.2277467e-38	-0.060999997	0	0
0	-0.9895303	1.899025e-07	-7.2630774e-38	-0.06	0	0
0	-0.9894427	2.1926826e-07	-7.1834236e-38	-0.059000008	0	0
0	-0.98935425	2.5091867e-07	-7.246344e-38	-0.058	0	0
0	-0.9892651	2.8530485e-07	-7.222131e-38	-0.057000004	0	0
0	-0.989175	3.3596007e-07	-7.3101604e-38	-0.055999998	0	0
0	-0.98908406	3.9479346e-07	-7.4415305e-38	-0.055000003	0	0
0	-0.98899245	4.5920024e-07	-7.3319153e-38	-0.053999998	0	0
0	-0.9888999	5.365e-07	-7.2716875e-38	-0.053	0	0
0	-0.98880655	6.2934123e-07	-7.3651165e-38	-0.051999994	0	0
0	-0.9887123	7.628987e-07	-7.4058747e-38	-0.051	0	0
0	-0.9886173	9.1867696e-07	-7.4420815e-38	-0.050000004	0	0
0	-0.9885214	1.1249213e-06	-7.58878e-38	-0.049	0	0
0	-0.98842454	1.4135148e-06	-7.4959614e-38	-0.048000004	0	0
0	-0.9883268	1.744047e-06	-7.615418e-38	-0.046999995	0	0
0	-0.9882282	2.1860615e-06	-7.70069e-38	-0.046	0	0
0	-0.9881287	2.7631468e-06	-7.7264273e-38	-0.045	0	0
0	-0.9880283	3.4948898e-06	-7.911654e-38	-0.044	0	0
0	-0.98792696	4.5681663e-06	-7.976501e-38	-0.043000005	0	0
0	-0.9878247	6.146758e-06	-7.9265535e-38	-0.042	0	0
0	-0.97997886	0.04705662	-1.3652135e-37	-0.041000005	0	0
0	-0.97958565	0.047887545	-1.3197507e-37	-0.039999995	0	0
0	-0.97918856	0.04871071	-1.3021675e-37	-0.039	0	0
0	-0.978788	0.049525864	-1.3229297e-37	-0.038	0	0
0	-0.9783838	0.050333433	-1.3284691e-37	-0.037	0	0
0	-0.9779758	0.051134516	-1.3683468e-37	-0.036	0	0
0	-0.977564	0.0519292	-1.3835633e-37	-0.035	0	0
0	-0.97714806	0.052718624	-1.4534343e-37	-0.034000006	0	0
0	-0.97672796	0.05350278	-1.5221447e-37	-0.032999996	0	0
0	-0.9763038	0.054282457	-1.5481846e-37	-0.032	0	0
0	-0.9758752	0.055057928	-1.5674985e-37	-0.031000001	0	0
0	-0.9754421	0.055830166	-1.5795969e-37	-0.03	0	0
0	-0.97500443	0.056599073	-1.6115459e-37	-0.029	0	0
0	-0.9745623	0.05736459	-1.6359591e-37	-0.027999999	0	0
0	-0.9741149	0.05812841	-1.6636803e-37	-0.026999999	0	0
0	-0.97366273	0.05889007	-1.6921892e-37	-0.025999997	0	0
0	-0.97320557	0.059649613	-1.6804277e-37	-0.025000002	0	0
0	-0.97274303	0.060407966	-1.7263449e-37	-0.024000002	0	0
0	-0.97227514	0.06116541	-1.7348503e-37	-0.023	0	0
0	-0.97180176	0.061921977	-1.7269411e-37	-0.022	0	0
0	-0.97132254	0.0626785	-1.682775e-37	-0.021	0	0
0	-0.9708376	0.063434415	-1.6941615e-37	-0.019999998	0	0
0	-0.9703467	0.06419074	-1.7209647e-37	-0.019	0	0
0	-0.9698497	0.06494741	-1.7536225e-37	-0.018	0	0
0	-0.9693462	0.06570498	-1.7393566e-37	-0.017000003	0	0
0	-0.9688364	0.066463426	-1.7262234e-37	-0.016	0	0
0	-0.96831995	0.067223005	-1.7780592e-37	-0.015	0	0
0	-0.9677967	0.067984134	-1.77496e-37	-0.0139999995	0	0
0	-0.9672664	0.06874713	-1.8116633e-37	-0.012999998	0	0
0	-0.96672887	0.069512054	-1.8193624e-37	-0.012000001	0	0
0	-0.9661839	0.070279405	-1.8754606e-37	-0.011	0	0
0	-0.9656313	0.07104927	-1.8762775e-37	-0.009999999	0	0
0	-0.9650712	0.07182161	-1.9392262e-37	-0.009	0	0
